participant,task_id,task_type,task_style,facet,condition,question_index,time_ms,answer_multiple_choice_ms,find_supporting_answer_ms,score_answer_correct,score_verdict_correct,score_evidence_precision,score_evidence_recall,score_evidence_hop_exact_1,score_evidence_hop_exact_2,score_type_precision,score_type_recall,score_step_precision,score_step_recall,score_no_error_agreement,confidence,helpfulness,scroll_count,ctrl_f_count,text_select_count,click_count,mouse_move_px,website_click_count,panel_click_count
25,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,0,167153,71122,96031,true,,0.5,0.5,false,true,,,,,,notsure,somewhat,0,0,1,14,2734,2,12
3,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,23774,7174,16600,true,,1,1,true,true,,,,,,very,very,4,0,0,8,8867,2,6
28,HARRY-v1,find,find_text,Find × Text,nongrounding,0,636180,601762,34418,true,,1,1,true,true,,,,,,somewhat,somewhat,19,1,4,27,30945,14,13
27,NVIDA-V1,find,find_text,Find × Text,nongrounding,0,74845,3529,71316,true,,0.5,0.5,false,true,,,,,,very,somewhat,3,1,0,10,10327,2,8
27,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,1,659384,606746,52638,true,,1,1,true,true,,,,,,very,very,9,0,0,16,37541,6,10
4,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,220773,156192,64581,true,,1,1,true,true,,,,,,somewhat,very,15,0,0,28,42218,6,22
4,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,213199,186070,27129,true,,1,1,true,true,,,,,,very,notmuch,4,1,0,13,36325,3,10
5,EDU-v1,find,find_text,Find × Text,grounding,0,208488,178135,30353,true,,1,1,true,true,,,,,,very,very,11,1,1,9,35706,3,6
29,HARRY-v1,find,find_text,Find × Text,nongrounding,0,384077,278301,105776,true,,1,1,true,true,,,,,,notsure,notmuch,19,1,0,10,52835,3,7
13,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,1,194999,134513,60486,true,,1,1,true,true,,,,,,notsure,very,14,4,4,12,28840,6,6
13,NVIDA-V1,find,find_text,Find × Text,nongrounding,0,213290,183249,30041,true,,1,1,true,true,,,,,,somewhat,somewhat,6,3,2,14,42113,8,6
30,EDU-v1,find,find_text,Find × Text,grounding,1,168064,132847,35217,true,,1,1,true,true,,,,,,very,very,3,1,0,8,11281,3,5
31,HARRY-v1,find,find_text,Find × Text,nongrounding,1,308894,17039,291855,true,,1,1,true,true,,,,,,very,somewhat,0,0,0,19,3302,8,11
6,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,49073,23844,25229,true,,1,1,true,true,,,,,,somewhat,somewhat,6,0,1,13,16705,2,11
6,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,164968,110284,54684,true,,1,1,true,true,,,,,,very,very,7,2,7,15,16922,3,12
32,EDU-v1,find,find_text,Find × Text,grounding,0,204073,136176,67897,true,,1,1,true,true,,,,,,very,somewhat,16,1,2,15,20788,6,9
14,HARRY-v1,find,find_text,Find × Text,grounding,0,35959,8577,27382,true,,1,1,true,true,,,,,,very,very,5,2,0,11,9103,2,9
14,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,1,291686,191755,99931,true,,1,1,true,true,,,,,,somewhat,somewhat,18,1,1,16,24815,6,10
7,EDU-v1,find,find_text,Find × Text,nongrounding,1,133472,99355,34117,true,,1,1,true,true,,,,,,very,somewhat,7,4,3,20,32802,9,11
33,HARRY-v1,find,find_text,Find × Text,nongrounding,1,1187031,373232,813799,true,,1,1,true,true,,,,,,very,notatall,35,0,8,48,114202,22,26
35,EDU-v1,find,find_text,Find × Text,grounding,0,38927,15445,23482,true,,1,1,true,true,,,,,,notsure,very,9,1,0,10,9338,2,8
36,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,180884,153713,27171,true,,1,1,true,true,,,,,,very,very,11,0,1,13,14844,6,7
37,HARRY-v1,find,find_text,Find × Text,grounding,0,194256,157962,36294,true,,1,1,true,true,,,,,,somewhat,very,27,1,2,17,18978,7,10
37,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,1,458883,417504,41379,true,,1,1,true,true,,,,,,very,very,27,2,11,48,54850,30,18
38,EDU-v1,find,find_text,Find × Text,grounding,1,91118,23512,67606,true,,1,1,true,true,,,,,,somewhat,very,17,1,1,9,8749,2,7
15,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,545023,494731,50292,true,,1,1,true,true,,,,,,very,somewhat,0,0,0,13,1542,8,5
15,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,291300,247518,43782,true,,1,1,true,true,,,,,,very,notatall,0,0,0,8,981,2,6
8,HARRY-v1,find,find_text,Find × Text,grounding,0,70695,28328,42367,true,,1,1,true,true,,,,,,very,very,13,0,0,12,17580,3,9
8,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,1,88540,16715,71825,true,,1,1,true,true,,,,,,somewhat,somewhat,13,1,0,9,12459,2,7
41,EDU-v1,find,find_text,Find × Text,nongrounding,1,350308,312963,37345,true,,1,1,true,true,,,,,,very,somewhat,11,2,1,11,19663,5,6
16,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,0,295641,216748,78893,true,,1,1,true,true,,,,,,very,very,11,3,10,37,58902,8,29
16,HARRY-v1,find,find_text,Find × Text,grounding,1,215270,185878,29392,true,,1,1,true,true,,,,,,somewhat,somewhat,6,1,4,20,36176,14,6
34,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,0,289521,255897,33624,true,,1,1,true,true,,,,,,very,very,23,0,7,36,45894,25,11
34,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,24534,6925,17609,true,,0.5,0.5,true,false,,,,,,guessed,notmuch,7,0,0,7,7965,2,5
39,EDU-v1,find,find_text,Find × Text,nongrounding,0,135273,102992,32281,true,,1,1,true,true,,,,,,very,very,12,2,1,13,17090,3,10
39,NVIDA-V1,find,find_text,Find × Text,grounding,1,99861,76671,23190,true,,1,1,true,true,,,,,,very,very,5,1,1,22,22814,11,11
43,EDU-v1,find,find_text,Find × Text,grounding,0,153695,67225,86470,true,,1,1,true,true,,,,,,very,very,13,1,2,13,22095,3,10
44,HARRY-v1,find,find_text,Find × Text,grounding,0,251970,46536,205434,true,,0,0,false,false,,,,,,very,very,13,0,0,8,27180,2,6
44,MUFC-V1-TEXT,find,find_text,Find × Text,nongrounding,1,271129,27701,243428,true,,0.5,0.5,false,true,,,,,,notsure,somewhat,10,1,0,9,18951,2,7
46,MUFC-V1-TEXT,find,find_text,Find × Text,grounding,1,333071,280471,52600,true,,0.5,0.5,false,true,,,,,,notsure,somewhat,8,1,0,8,32946,3,5
45,EDU-v1,find,find_text,Find × Text,nongrounding,1,114581,63041,51540,true,,1,1,true,true,,,,,,very,very,14,2,3,11,53492,6,5
45,NVIDA-V1,find,find_text,Find × Text,grounding,0,251749,117640,134109,true,,1,1,true,true,,,,,,very,very,9,2,5,15,74139,6,9
47,NVIDA-V1,find,find_text,Find × Text,grounding,0,133234,84651,48583,true,,0.5,0.5,false,true,,,,,,very,very,25,1,0,11,15101,2,9
47,EDU-v1,find,find_text,Find × Text,nongrounding,1,55063,9062,46001,true,,0.5,0.5,false,true,,,,,,very,very,10,1,0,9,7328,2,7
9,HARRY-v1,find,find_text,Find × Text,nongrounding,0,2877340,199009,2678331,false,,0.5,0.5,false,true,,,,,,somewhat,very,6,7,3,11,37031,5,6
9,EDU-v1,find,find_text,Find × Text,grounding,1,112061,86107,25954,true,,1,1,true,true,,,,,,very,very,4,2,2,14,23561,6,8
22,NVIDA-V1,find,find_text,Find × Text,nongrounding,2,213251,188387,24864,true,,1,1,true,true,,,,,,very,very,10,1,0,9,14816,3,6
10,NVIDA-V1,find,find_text,Find × Text,nongrounding,2,224268,204720,19548,true,,1,1,true,true,,,,,,somewhat,somewhat,7,1,1,12,53399,6,6
3,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,190428,172511,17917,true,,1,1,true,true,,,,,,somewhat,very,6,0,0,8,12497,2,6
7,NVIDA-V1,find,find_text,Find × Text,grounding,0,92622,50013,42609,true,,1,1,true,true,,,,,,somewhat,very,12,0,1,12,14066,3,9
36,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,266744,236673,30071,true,,1,1,true,true,,,,,,somewhat,somewhat,3,0,1,12,12863,6,6
41,NVIDA-V1,find,find_text,Find × Text,grounding,0,31627,8486,23141,true,,1,1,true,true,,,,,,very,somewhat,3,1,0,9,7710,3,6
46,NVIDA-V1,find,find_text,Find × Text,nongrounding,0,165509,147469,18040,true,,1,1,true,true,,,,,,somewhat,somewhat,3,1,0,8,23196,2,6
48,EDU-v1,find,find_text,Find × Text,grounding,0,134339,113718,20621,true,,1,1,true,true,,,,,,very,very,24,0,0,12,22491,2,10
48,HARRY-v1,find,find_text,Find × Text,nongrounding,1,241664,225391,16273,false,,1,1,true,true,,,,,,notsure,very,36,3,2,14,65277,4,10
49,NVIDA-V1,find,find_text,Find × Text,nongrounding,0,46586,6753,39833,true,,1,1,true,true,,,,,,very,somewhat,4,1,0,8,9988,3,5
49,HARRY-v1,find,find_text,Find × Text,grounding,1,699798,650100,49698,true,,1,1,true,true,,,,,,notsure,somewhat,17,1,2,21,21914,4,17
51,NVIDA-V1,find,find_text,Find × Text,grounding,0,392090,251054,141036,true,,1,1,true,true,,,,,,very,somewhat,0,0,0,28,4235,16,12
52,HARRY-v1,find,find_text,Find × Text,grounding,0,226434,192444,33990,true,,1,1,true,true,,,,,,very,very,14,1,1,14,39021,2,12
52,NVIDA-V1,find,find_text,Find × Text,nongrounding,1,183378,117537,65841,true,,1,1,true,true,,,,,,somewhat,somewhat,13,1,1,10,31992,4,6
50,EDU-v1,find,find_text,Find × Text,nongrounding,0,372088,309688,62400,true,,1,1,true,true,,,,,,very,very,0,0,1,14,2215,3,11
50,NVIDA-V1,find,find_text,Find × Text,grounding,1,163105,131758,31347,true,,0.5,0.5,true,false,,,,,,very,very,0,0,0,8,846,2,6
53,EDU-v1,find,find_text,Find × Text,grounding,0,252630,184598,68032,true,,1,1,true,true,,,,,,very,somewhat,10,1,0,9,24335,3,6
53,HARRY-v1,find,find_text,Find × Text,nongrounding,1,201903,163866,38037,true,,0.5,0.5,false,true,,,,,,somewhat,notmuch,9,2,1,10,35083,3,7
55,NVIDA-V1,find,find_text,Find × Text,nongrounding,0,168566,145972,22594,true,,1,1,true,true,,,,,,very,very,9,2,1,8,20739,2,6
55,HARRY-v1,find,find_text,Find × Text,grounding,1,417309,367628,49681,true,,1,1,true,true,,,,,,very,very,10,5,5,14,58460,7,7
54,NVIDA-V1,find,find_text,Find × Text,grounding,0,29902,5591,24311,true,,1,1,true,true,,,,,,very,very,5,0,0,8,6038,2,6
54,EDU-v1,find,find_text,Find × Text,nongrounding,1,128137,67861,60276,true,,1,1,true,true,,,,,,very,very,8,2,0,10,27796,3,7
12,MUFC-V1,find,find_visual,Find × Visual,grounding,1,106369,41893,64476,true,,1,1,true,true,,,,,,very,somewhat,0,0,0,14,4667,3,11
11,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,867454,346441,521013,true,,0.5,0.5,true,false,,,,,,notsure,notmuch,6,1,1,16,52413,3,13
17,SVSF-V1,find,find_visual,Find × Visual,grounding,1,37916,21392,16524,true,,0.5,0.5,false,true,,,,,,very,very,3,0,0,8,813,2,6
12,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,135916,23688,112228,false,,0,0,false,false,,,,,,notsure,notmuch,0,0,0,17,2475,5,12
18,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,43648,37147,6501,true,,0.5,0.5,false,true,,,,,,somewhat,notmuch,8,1,0,8,7961,2,6
18,TREE-V1,find,find_visual,Find × Visual,grounding,1,86530,44180,42350,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,29,1,0,12,13606,3,9
24,SVSF-V1,find,find_visual,Find × Visual,grounding,1,73527,40064,33463,true,,0.5,0.5,false,true,,,,,,very,very,2,0,2,10,14258,2,8
1,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,105353,93611,11742,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,5,0,0,13,30607,6,7
2,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,178078,155498,22580,true,,0.5,0.5,false,true,,,,,,very,very,6,0,0,8,22993,2,6
21,SVSF-V1,find,find_visual,Find × Visual,grounding,2,23682,10798,12884,false,,0,0,false,false,,,,,,guessed,notatall,9,0,0,10,4978,3,7
21,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,22494,8193,14301,false,,0,0,false,false,,,,,,guessed,notatall,9,0,0,9,4163,3,6
26,TREE-V1,find,find_visual,Find × Visual,grounding,2,148452,115598,32854,true,,0.5,0.5,false,true,,,,,,very,very,27,0,8,46,18707,37,9
28,TESLA-V1,find,find_visual,Find × Visual,nongrounding,2,365352,337169,28183,true,,1,1,true,true,,,,,,somewhat,somewhat,18,1,1,21,20712,8,13
5,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,155417,108249,47168,true,,1,1,true,true,,,,,,very,very,5,1,2,20,30835,10,10
29,TESLA-V1,find,find_visual,Find × Visual,nongrounding,2,129946,100721,29225,true,,1,1,true,true,,,,,,somewhat,notmuch,6,0,0,8,20320,2,6
29,MUFC-V1,find,find_visual,Find × Visual,grounding,3,35240,21648,13592,true,,0.5,0.5,false,true,,,,,,very,very,9,0,0,11,12931,2,9
30,MUFC-V1,find,find_visual,Find × Visual,nongrounding,2,189829,158294,31535,true,,0.5,0.5,false,true,,,,,,very,very,4,0,0,9,12727,3,6
31,MUFC-V1,find,find_visual,Find × Visual,grounding,2,1484499,25227,1459272,true,,0.5,0.5,false,true,,,,,,notsure,notmuch,0,0,0,21,4588,7,14
31,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,411086,42545,368541,false,,0,0,false,false,,,,,,guessed,notatall,0,0,0,17,2495,3,14
32,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,64852,52786,12066,true,,0.5,0.5,false,true,,,,,,somewhat,very,6,0,0,10,9852,4,6
14,TESLA-V1,find,find_visual,Find × Visual,grounding,2,139268,118619,20649,false,,0.5,0.5,false,true,,,,,,notsure,somewhat,10,1,1,24,14912,13,11
7,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,60785,44130,16655,true,,0.5,0.5,false,true,,,,,,very,notmuch,11,0,1,15,8031,3,12
33,MUFC-V1,find,find_visual,Find × Visual,grounding,2,242419,178207,64212,true,,0.5,0.5,false,true,,,,,,very,very,20,0,0,17,38042,7,10
33,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,1018990,461883,557107,false,,1,1,true,true,,,,,,somewhat,very,23,1,4,22,63288,11,11
37,TESLA-V1,find,find_visual,Find × Visual,grounding,2,30913,6501,24412,true,,0.5,0.5,false,true,,,,,,notsure,very,6,0,0,8,5767,2,6
38,MUFC-V1,find,find_visual,Find × Visual,nongrounding,2,66631,35259,31372,true,,0.5,0.5,false,true,,,,,,somewhat,very,7,0,0,10,14138,3,7
8,TESLA-V1,find,find_visual,Find × Visual,grounding,2,73690,32022,41668,true,,0.5,0.5,false,true,,,,,,somewhat,very,21,0,0,12,10098,2,10
16,TESLA-V1,find,find_visual,Find × Visual,grounding,3,112928,95773,17155,true,,1,1,true,true,,,,,,very,very,7,1,0,8,33889,2,6
39,TESLA-V1,find,find_visual,Find × Visual,nongrounding,2,169812,118805,51007,true,,0.5,0.5,false,true,,,,,,somewhat,very,20,1,4,23,29750,3,20
39,TREE-V1,find,find_visual,Find × Visual,grounding,3,112473,63737,48736,true,,1,1,true,true,,,,,,somewhat,very,35,1,0,12,16913,2,10
43,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,167804,56018,111786,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,42,1,0,7,12822,2,5
44,TESLA-V1,find,find_visual,Find × Visual,grounding,2,96125,57646,38479,false,,0.5,0.5,false,true,,,,,,very,very,4,0,0,8,7162,2,6
46,SVSF-V1,find,find_visual,Find × Visual,grounding,3,115362,45299,70063,true,,0.5,0.5,false,true,,,,,,very,very,24,0,0,8,15764,2,6
45,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,141956,85801,56155,true,,1,1,true,true,,,,,,very,very,15,2,3,11,51989,5,6
47,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,135303,76955,58348,true,,0.5,0.5,false,true,,,,,,very,very,28,1,2,10,19924,2,8
9,TESLA-V1,find,find_visual,Find × Visual,nongrounding,2,125278,113067,12211,false,,1,1,true,true,,,,,,very,very,6,1,0,10,17740,3,7
22,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,154004,131879,22125,true,,0.5,0.5,false,true,,,,,,very,very,26,0,0,9,7216,2,7
24,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,150905,79137,71768,true,,1,1,true,true,,,,,,somewhat,very,3,1,5,18,26743,5,13
1,TREE-V1,find,find_visual,Find × Visual,grounding,1,158768,121595,37173,true,,0.5,0.5,false,true,,,,,,very,very,49,0,0,15,39990,5,10
2,TREE-V1,find,find_visual,Find × Visual,grounding,1,217700,194124,23576,true,,0.5,0.5,false,true,,,,,,very,very,35,0,0,9,23965,2,7
10,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,146329,46066,100263,true,,0.5,0.5,false,true,,,,,,very,very,41,1,8,25,35124,19,6
23,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,129760,105540,24220,false,,0.5,0.5,false,true,,,,,,somewhat,somewhat,19,0,0,10,25570,2,8
3,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,99853,65303,34550,true,,0.5,0.5,false,true,,,,,,somewhat,very,11,0,0,10,8250,2,8
27,SVSF-V1,find,find_visual,Find × Visual,nongrounding,2,193460,126103,67357,true,,1,1,true,true,,,,,,very,very,34,0,0,10,18838,4,6
4,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,1249660,997991,251669,true,,0.5,0.5,false,true,,,,,,very,notmuch,49,1,6,22,56732,3,19
5,TREE-V1,find,find_visual,Find × Visual,grounding,2,192282,107543,84739,true,,1,1,true,true,,,,,,somewhat,somewhat,33,1,1,9,27376,3,6
13,SVSF-V1,find,find_visual,Find × Visual,nongrounding,2,120329,83096,37233,true,,0.5,0.5,false,true,,,,,,very,very,25,0,0,10,28567,3,7
30,TREE-V1,find,find_visual,Find × Visual,grounding,3,106501,94035,12466,true,,1,1,true,true,,,,,,very,very,10,0,0,9,9359,2,7
6,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,197265,53815,143450,true,,0.5,0.5,false,true,,,,,,very,very,17,1,2,14,15014,5,9
32,TREE-V1,find,find_visual,Find × Visual,grounding,2,113706,82659,31047,true,,1,1,true,true,,,,,,very,somewhat,27,0,0,9,11991,2,7
7,SVSF-V1,find,find_visual,Find × Visual,grounding,2,115308,83908,31400,true,,0.5,0.5,false,true,,,,,,somewhat,notatall,21,0,2,19,19212,4,15
38,TREE-V1,find,find_visual,Find × Visual,grounding,3,110553,22666,87887,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,44,0,0,9,15050,2,7
15,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,268049,217634,50415,true,,0.5,0.5,false,true,,,,,,very,notmuch,27,0,0,13,1343,6,7
34,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,114854,78733,36121,true,,0.5,0.5,false,true,,,,,,somewhat,very,19,0,1,12,14156,5,7
43,SVSF-V1,find,find_visual,Find × Visual,grounding,2,218736,143615,75121,true,,1,1,true,true,,,,,,notsure,very,26,0,1,15,21872,3,12
44,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,196010,54827,141183,true,,0.5,0.5,false,true,,,,,,guessed,somewhat,49,0,0,8,11730,2,6
46,TREE-V1,find,find_visual,Find × Visual,nongrounding,2,128539,56286,72253,true,,0.5,0.5,false,true,,,,,,very,very,29,1,1,12,17115,4,8
45,TREE-V1,find,find_visual,Find × Visual,grounding,2,166758,84510,82248,true,,1,1,true,true,,,,,,very,very,22,2,5,16,62837,8,8
47,SVSF-V1,find,find_visual,Find × Visual,grounding,2,149518,109068,40450,true,,0.5,0.5,false,true,,,,,,very,very,31,1,0,15,20379,5,10
9,TREE-V1,find,find_visual,Find × Visual,grounding,3,95836,80156,15680,true,,1,1,true,true,,,,,,very,very,15,1,1,11,17836,4,7
11,MUFC-V1,find,find_visual,Find × Visual,grounding,1,106754,87272,19482,true,,1,1,true,true,,,,,,very,very,4,0,0,10,21046,3,7
26,MUFC-V1,find,find_visual,Find × Visual,nongrounding,3,79589,65063,14526,true,,1,1,true,true,,,,,,very,very,5,1,15,51,13351,43,8
28,MUFC-V1,find,find_visual,Find × Visual,grounding,3,132306,111540,20766,true,,1,1,true,true,,,,,,very,somewhat,8,1,0,12,10156,4,8
48,TREE-V1,find,find_visual,Find × Visual,grounding,2,116532,73941,42591,true,,1,1,true,true,,,,,,very,very,47,0,0,15,31197,2,13
48,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,230653,219579,11074,true,,1,1,true,true,,,,,,very,somewhat,22,2,3,19,48800,10,9
49,SVSF-V1,find,find_visual,Find × Visual,nongrounding,2,64271,23814,40457,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,22,0,0,10,10059,3,7
49,TESLA-V1,find,find_visual,Find × Visual,grounding,3,220208,214327,5881,true,,0.5,0.5,false,true,,,,,,somewhat,notmuch,11,1,0,17,16822,6,11
52,TESLA-V1,find,find_visual,Find × Visual,grounding,2,319342,267103,52239,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,18,2,0,19,39941,4,15
52,SVSF-V1,find,find_visual,Find × Visual,nongrounding,3,152983,59306,93677,true,,0.5,0.5,false,true,,,,,,somewhat,very,26,0,0,9,18569,3,6
50,TREE-V1,find,find_visual,Find × Visual,nongrounding,2,162902,93483,69419,true,,0.5,0.5,false,true,,,,,,somewhat,somewhat,19,0,0,15,1683,8,7
50,SVSF-V1,find,find_visual,Find × Visual,grounding,3,131170,80721,50449,true,,0.5,0.5,false,true,,,,,,very,very,23,0,0,8,735,2,6
53,TREE-V1,find,find_visual,Find × Visual,grounding,2,83274,66190,17084,true,,0.5,0.5,false,true,,,,,,very,very,13,0,0,9,11287,3,6
53,TESLA-V1,find,find_visual,Find × Visual,nongrounding,3,228868,206354,22514,true,,0.5,0.5,false,true,,,,,,very,very,9,3,2,15,23830,5,10
55,SVSF-V1,find,find_visual,Find × Visual,nongrounding,2,96056,50461,45595,true,,0.5,0.5,false,true,,,,,,very,very,22,0,0,11,10167,2,9
55,TESLA-V1,find,find_visual,Find × Visual,grounding,3,226449,195239,31210,true,,1,1,true,true,,,,,,very,somewhat,13,3,0,16,27426,7,9
54,SVSF-V1,find,find_visual,Find × Visual,grounding,2,27785,8686,19099,true,,0.5,0.5,false,true,,,,,,very,very,11,0,0,8,8326,2,6
54,TREE-V1,find,find_visual,Find × Visual,nongrounding,3,106515,34228,72287,true,,1,1,true,true,,,,,,somewhat,very,26,2,0,10,7544,2,8
4,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,grounding,0,68579,39981,28598,,true,,,,,,0,,0,false,very,very,9,0,0,16,17968,2,14
5,gv2-ed05972e-i5fi3b,guide,guide_text,Guide × Text,grounding,0,260416,209438,50978,,true,,,,,,0,,0,false,very,very,12,0,1,16,42707,4,12
7,gv2-ed05972e-i5fi3b,guide,guide_text,Guide × Text,nongrounding,1,54293,49427,4866,,true,,,,,,0,,0,false,notsure,notatall,11,0,0,29,11322,18,11
8,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,nongrounding,1,59753,26789,32964,,true,,,,,,0,,0,false,somewhat,very,13,0,0,19,5004,0,19
9,gv2-ed05972e-i5fi3b,guide,guide_text,Guide × Text,nongrounding,0,71942,67037,4905,,true,,,,,,0,,0,false,very,very,4,0,1,19,17089,8,11
13,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,grounding,1,61625,58189,3436,,true,,,,,,0,,0,false,somewhat,somewhat,8,0,0,13,23632,2,11
14,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,nongrounding,1,98237,93403,4834,,true,,,,,,0,,0,false,somewhat,somewhat,20,0,1,29,11900,16,13
15,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,grounding,0,173844,155502,18342,,true,,,,,,0,,0,false,somewhat,very,0,0,0,19,4259,8,11
16,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,nongrounding,0,69184,65724,3460,,true,,,,,,0,,0,false,very,very,7,0,6,40,20779,28,12
10,gv2-ms9hwloh-15fuvy,guide,guide_text,Guide × Text,grounding,0,185068,150334,34734,,true,,,,,,0,,0,false,somewhat,very,12,0,2,55,60229,43,12
21,gv2-ms9j3200-u0i9nm,guide,guide_text,Guide × Text,nongrounding,1,16928,5819,11109,,false,,,,,0,0,,0,true,somewhat,somewhat,10,0,2,23,6344,0,23
